Source,Target,Weight
740,109,1
740,109,1
740,109,1
740,109,1
740,109,1
740,109,1
740,109,1
740,109,1
740,109,1
740,109,1
740,109,1
740,109,1
740,109,1
740,109,1
740,109,1
740,109,1
740,109,1
740,109,1
740,109,1
740,109,1
740,109,1
740,109,1
740,109,1
740,109,1
740,109,1
740,109,1
740,109,1
740,109,1
740,109,1
740,705,1
109,406,1
705,740,1
705,109,1
705,109,1
705,109,1
705,109,1
705,109,1
705,109,1
705,109,1
705,109,1
705,109,1
705,109,1
705,109,1
705,109,1
705,109,1
705,109,1
705,109,1
705,109,1
705,109,1
705,109,1
705,109,1
705,109,1
705,109,1
705,109,1
705,109,1
705,109,1
705,109,1
705,109,1
705,109,1
705,109,1
705,109,1
109,536,1
109,298,1
109,34,1
281,188,1
281,188,1
281,188,1
281,188,1
188,281,1
188,281,1
188,281,1
188,281,1
188,281,1
188,281,1
188,629,1
188,281,1
281,188,1
281,188,1
281,188,1
188,281,1
500,269,1
500,291,1
500,503,1
707,503,1
503,730,1
503,291,1
503,500,1
500,503,1
500,730,1
740,705,1
740,54,1
740,503,1
740,461,1
500,738,1
500,503,1
500,740,1
730,503,1
503,291,1
503,500,1
503,537,1
14,296,1
14,296,1
663,296,1
663,296,1
663,296,1
663,296,1
723,465,1
723,465,1
723,465,1
465,723,1
465,723,1
465,723,1
465,723,1
465,723,1
465,723,1
465,723,1
465,723,1
465,723,1
465,723,1
465,723,1
465,723,1
465,723,1
465,723,1
465,723,1
465,65,1
723,313,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
686,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
11,255,1
255,11,1
686,255,1
686,255,1
686,255,1
442,255,1
686,255,1
686,255,1
686,255,1
500,667,1
500,667,1
500,667,1
500,667,1
500,667,1
500,667,1
500,667,1
500,667,1
500,667,1
500,738,1
500,503,1
500,740,1
667,351,1
667,534,1
667,534,1
534,667,1
667,534,1
667,534,1
667,534,1
667,534,1
621,580,1
621,580,1
621,580,1
621,580,1
621,580,1
621,580,1
621,580,1
621,580,1
621,580,1
621,580,1
621,580,1
580,621,1
606,163,1
606,163,1
606,163,1
606,163,1
606,163,1
606,163,1
606,163,1
606,163,1
606,163,1
606,163,1
245,159,1
245,159,1
245,159,1
245,159,1
245,159,1
245,159,1
245,159,1
245,159,1
245,159,1
245,159,1
245,159,1
245,159,1
245,159,1
590,159,1
590,159,1
590,159,1
590,159,1
590,159,1
590,159,1
590,159,1
590,159,1
590,159,1
590,159,1
590,159,1
590,159,1
590,159,1
159,85,1
21,243,1
243,21,1
339,634,1
339,365,1
711,339,1
711,339,1
711,339,1
711,339,1
711,339,1
711,339,1
711,339,1
711,339,1
711,339,1
711,339,1
711,339,1
711,339,1
711,339,1
711,339,1
711,339,1
711,339,1
711,339,1
339,365,1
339,711,1
486,339,1
486,339,1
486,339,1
486,339,1
486,339,1
486,339,1
486,339,1
486,339,1
486,339,1
486,339,1
486,339,1
486,339,1
486,339,1
486,339,1
486,339,1
486,339,1
486,339,1
43,533,1
43,636,1
43,533,1
478,636,1
478,43,1
478,43,1
478,43,1
478,43,1
478,43,1
478,43,1
478,43,1
478,43,1
478,43,1
478,43,1
43,696,1
43,696,1
696,43,1
43,696,1
518,107,1
518,107,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
479,78,1
479,78,1
479,78,1
479,78,1
479,78,1
479,78,1
479,78,1
479,78,1
479,78,1
479,78,1
479,78,1
479,78,1
479,78,1
479,78,1
479,78,1
479,78,1
373,479,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
373,78,1
650,78,1
205,728,1
728,205,1
205,728,1
205,728,1
205,728,1
728,205,1
205,728,1
205,728,1
205,728,1
728,205,1
728,205,1
205,728,1
205,728,1
205,728,1
205,728,1
728,205,1
205,728,1
205,728,1
728,205,1
728,205,1
728,205,1
205,728,1
728,205,1
205,728,1
494,205,1
494,205,1
494,205,1
494,205,1
494,205,1
494,205,1
494,205,1
494,205,1
494,205,1
494,205,1
494,205,1
494,205,1
494,205,1
494,205,1
494,205,1
494,205,1
494,205,1
494,205,1
494,205,1
494,205,1
494,205,1
494,205,1
494,205,1
494,205,1
494,205,1
494,205,1
494,205,1
205,536,1
740,150,1
740,705,1
740,205,1
536,705,1
536,205,1
536,461,1
205,705,1
205,740,1
205,461,1
205,536,1
205,730,1
449,454,1
449,454,1
449,454,1
449,454,1
449,454,1
449,454,1
449,454,1
80,263,1
80,175,1
80,263,1
80,263,1
80,263,1
80,263,1
502,237,1
23,439,1
23,439,1
23,439,1
23,439,1
23,439,1
23,485,1
23,439,1
540,594,1
734,540,1
734,540,1
734,540,1
734,540,1
530,540,1
530,540,1
530,540,1
530,540,1
617,319,1
617,100,1
617,319,1
617,319,1
617,319,1
617,319,1
617,319,1
617,319,1
617,319,1
617,319,1
617,319,1
617,319,1
617,319,1
617,319,1
319,617,1
91,134,1
193,393,1
193,393,1
193,393,1
193,393,1
193,393,1
193,393,1
193,393,1
193,393,1
193,393,1
393,193,1
480,393,1
480,671,1
534,99,1
534,221,1
73,221,1
73,99,1
73,221,1
73,99,1
121,426,1
121,73,1
73,121,1
239,84,1
239,84,1
239,84,1
239,84,1
239,84,1
239,84,1
239,84,1
239,84,1
239,84,1
239,84,1
239,84,1
239,84,1
239,84,1
239,84,1
239,84,1
239,84,1
239,84,1
239,84,1
239,84,1
239,84,1
239,84,1
43,696,1
43,696,1
43,696,1
43,696,1
43,696,1
