Source,Target,Weight
480,70,1
480,70,1
70,480,1
70,480,1
586,70,1
480,70,1
178,343,1
343,178,1
343,178,1
343,178,1
343,178,1
343,178,1
343,178,1
343,178,1
343,178,1
343,178,1
343,178,1
343,178,1
343,178,1
343,178,1
343,178,1
343,178,1
343,178,1
343,149,1
343,178,1
282,47,1
282,47,1
282,47,1
282,47,1
282,47,1
282,47,1
282,47,1
282,47,1
282,47,1
282,47,1
282,47,1
282,47,1
282,47,1
282,47,1
282,47,1
282,47,1
282,47,1
282,47,1
282,47,1
282,47,1
282,47,1
282,47,1
282,47,1
282,47,1
282,47,1
282,47,1
282,47,1
367,245,1
367,527,1
506,367,1
393,371,1
371,393,1
371,393,1
371,393,1
371,393,1
371,393,1
371,393,1
371,393,1
371,393,1
371,393,1
371,393,1
371,393,1
371,393,1
371,393,1
371,393,1
371,393,1
371,393,1
371,393,1
371,393,1
371,393,1
371,393,1
371,393,1
371,393,1
371,393,1
371,393,1
371,393,1
371,393,1
371,393,1
371,393,1
371,393,1
371,393,1
371,393,1
371,393,1
371,393,1
393,371,1
393,371,1
393,371,1
393,371,1
393,371,1
371,393,1
371,393,1
371,393,1
393,371,1
393,371,1
393,371,1
371,393,1
371,393,1
393,371,1
393,371,1
393,371,1
393,371,1
401,585,1
401,4,1
671,534,1
349,671,1
349,690,1
349,671,1
707,86,1
86,707,1
86,707,1
260,704,1
115,260,1
115,260,1
115,260,1
115,260,1
115,260,1
115,260,1
115,260,1
115,260,1
115,260,1
115,260,1
115,260,1
115,260,1
115,260,1
115,260,1
115,260,1
30,260,1
30,260,1
456,80,1
80,456,1
80,456,1
672,180,1
672,180,1
672,180,1
672,180,1
672,180,1
672,180,1
672,180,1
672,180,1
672,180,1
672,180,1
672,180,1
672,180,1
672,180,1
672,180,1
672,180,1
672,180,1
672,180,1
672,180,1
590,180,1
590,180,1
590,180,1
393,371,1
393,371,1
393,371,1
393,371,1
393,371,1
393,371,1
393,371,1
393,371,1
393,371,1
393,371,1
393,371,1
393,371,1
393,371,1
371,393,1
371,393,1
371,393,1
393,371,1
393,371,1
371,393,1
371,393,1
371,393,1
393,371,1
393,371,1
393,371,1
371,393,1
662,600,1
662,600,1
662,600,1
662,600,1
662,600,1
662,600,1
600,652,1
600,278,1
600,278,1
1,600,1
1,600,1
1,600,1
1,600,1
1,600,1
1,600,1
271,600,1
66,134,1
66,17,1
66,17,1
66,17,1
66,17,1
66,17,1
220,17,1
220,17,1
17,66,1
66,17,1
66,134,1
66,134,1
66,17,1
66,134,1
66,17,1
66,134,1
66,17,1
17,66,1
17,134,1
66,134,1
66,17,1
17,134,1
188,153,1
188,153,1
188,153,1
188,153,1
188,153,1
188,153,1
188,153,1
188,153,1
188,153,1
188,153,1
188,153,1
188,153,1
195,68,1
195,68,1
188,421,1
439,421,1
685,258,1
685,258,1
685,258,1
146,113,1
146,271,1
146,113,1
264,225,1
225,154,1
154,225,1
91,105,1
91,105,1
91,105,1
91,105,1
91,105,1
91,105,1
91,105,1
91,105,1
91,105,1
91,105,1
91,105,1
91,105,1
91,105,1
91,105,1
91,105,1
91,65,1
559,549,1
559,549,1
559,549,1
559,549,1
559,549,1
559,549,1
