Source,Target,Weight
509,129,1
403,163,1
403,163,1
163,403,1
163,403,1
163,403,1
163,403,1
163,403,1
163,403,1
163,403,1
163,403,1
163,403,1
163,403,1
163,403,1
163,403,1
163,403,1
163,403,1
163,403,1
163,403,1
163,403,1
163,403,1
163,403,1
163,403,1
163,403,1
163,403,1
163,403,1
163,403,1
163,403,1
163,403,1
403,163,1
403,163,1
331,15,1
331,15,1
331,15,1
331,15,1
331,15,1
331,15,1
331,15,1
331,15,1
331,15,1
331,15,1
331,15,1
331,15,1
331,15,1
331,15,1
410,15,1
76,580,1
149,280,1
149,28,1
353,149,1
248,203,1
55,248,1
255,75,1
255,75,1
255,75,1
255,75,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
40,251,1
185,294,1
130,159,1
130,159,1
130,159,1
130,159,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
130,159,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
130,159,1
130,159,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
130,159,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
130,159,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
130,159,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
130,159,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
130,159,1
130,159,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
130,159,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
130,159,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
130,159,1
130,159,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
130,159,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
130,159,1
130,159,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
130,159,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
130,159,1
130,159,1
159,130,1
159,510,1
159,130,1
159,130,1
159,130,1
159,130,1
159,130,1
130,159,1
130,510,1
130,159,1
159,130,1
130,159,1
159,130,1
159,130,1
159,130,1
130,159,1
130,159,1
130,159,1
159,130,1
130,159,1
159,130,1
159,130,1
159,130,1
130,159,1
159,130,1
510,159,1
159,130,1
159,130,1
159,130,1
130,159,1
159,130,1
159,130,1
159,130,1
130,159,1
159,130,1
159,130,1
130,159,1
159,130,1
510,130,1
510,159,1
159,130,1
159,130,1
130,510,1
130,159,1
159,130,1
159,510,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
557,177,1
557,177,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
557,177,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,324,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,324,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
557,177,1
557,324,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,324,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,324,1
557,324,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,324,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,557,1
177,324,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
324,557,1
607,439,1
607,439,1
439,28,1
393,217,1
339,369,1
356,319,1
356,319,1
171,490,1
171,222,1
59,222,1
169,446,1
582,587,1
89,340,1
521,237,1
237,360,1
579,560,1
252,184,1
479,562,1
479,562,1
479,562,1
479,562,1
479,562,1
479,562,1
479,562,1
479,562,1
479,562,1
479,562,1
254,19,1
254,19,1
254,19,1
254,19,1
254,19,1
254,19,1
254,19,1
254,19,1
254,19,1
254,19,1
254,19,1
254,19,1
254,606,1
19,254,1
19,606,1
19,606,1
19,589,1
589,19,1
589,19,1
589,19,1
589,19,1
589,19,1
589,19,1
589,19,1
589,19,1
589,19,1
589,19,1
589,19,1
589,19,1
589,606,1
33,19,1
33,19,1
33,19,1
33,19,1
33,19,1
33,19,1
33,19,1
33,19,1
33,19,1
33,19,1
33,19,1
33,19,1
33,19,1
33,19,1
33,19,1
33,19,1
33,19,1
33,19,1
33,19,1
33,19,1
33,19,1
33,19,1
33,19,1
33,19,1
19,33,1
19,606,1
19,589,1
19,33,1
19,606,1
589,19,1
589,19,1
589,19,1
589,19,1
589,19,1
589,19,1
589,19,1
589,19,1
589,19,1
589,19,1
589,19,1
589,19,1
589,606,1
19,33,1
19,589,1
19,606,1
585,19,1
19,589,1
29,19,1
276,395,1
558,360,1
558,114,1
558,395,1
35,395,1
35,283,1
553,70,1
70,587,1
70,553,1
553,587,1
70,587,1
70,553,1
553,587,1
70,587,1
70,553,1
70,587,1
70,553,1
70,587,1
70,553,1
70,587,1
70,553,1
70,587,1
70,553,1
70,553,1
70,272,1
70,272,1
70,553,1
70,272,1
70,553,1
70,553,1
70,553,1
70,553,1
70,272,1
70,553,1
70,553,1
70,553,1
70,272,1
70,553,1
518,100,1
121,483,1
121,483,1
595,140,1
595,140,1
595,140,1
595,140,1
595,140,1
595,140,1
595,140,1
595,140,1
595,140,1
595,140,1
595,140,1
595,140,1
595,140,1
595,140,1
595,140,1
595,140,1
595,140,1
140,472,1
595,140,1
595,140,1
472,140,1
595,140,1
479,334,1
496,404,1
496,595,1
496,404,1
496,404,1
496,404,1
496,404,1
496,404,1
496,404,1
496,113,1
496,404,1
496,404,1
496,404,1
496,404,1
496,404,1
496,404,1
496,404,1
496,404,1
496,404,1
496,404,1
496,404,1
496,404,1
496,404,1
496,404,1
232,459,1
68,55,1
55,68,1
55,68,1
55,68,1
55,68,1
55,68,1
55,68,1
55,68,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
55,68,1
55,68,1
55,68,1
55,68,1
55,68,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
55,68,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
68,55,1
238,143,1
238,143,1
238,143,1
238,143,1
238,143,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
238,143,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
143,238,1
417,386,1
417,60,1
417,386,1
417,386,1
417,386,1
417,386,1
417,386,1
417,386,1
392,542,1
392,542,1
50,449,1
50,449,1
449,50,1
449,50,1
223,250,1
223,250,1
223,547,1
223,250,1
223,250,1
223,547,1
223,547,1
547,223,1
547,223,1
394,43,1
394,592,1
592,394,1
394,43,1
37,43,1
37,394,1
37,184,1
394,43,1
591,568,1
591,176,1
591,568,1
591,176,1
591,176,1
591,176,1
591,568,1
591,176,1
450,176,1
450,591,1
87,378,1
87,378,1
87,431,1
487,32,1
56,294,1
353,56,1
56,372,1
507,327,1
507,327,1
3,327,1
285,284,1
284,285,1
284,125,1
284,125,1
389,360,1
389,114,1
389,114,1
389,114,1
114,389,1
389,114,1
389,114,1
427,507,1
427,507,1
427,507,1
427,507,1
507,427,1
507,427,1
507,427,1
507,427,1
507,427,1
507,427,1
507,427,1
507,427,1
507,427,1
507,427,1
507,427,1
507,427,1
507,427,1
507,427,1
507,427,1
507,427,1
507,427,1
427,507,1
427,507,1
427,507,1
427,507,1
427,507,1
427,507,1
427,507,1
427,507,1
427,507,1
427,507,1
427,507,1
320,427,1
320,427,1
320,427,1
320,427,1
320,427,1
320,427,1
320,427,1
320,427,1
320,427,1
320,427,1
320,427,1
320,427,1
320,427,1
320,427,1
320,427,1
320,427,1
320,427,1
427,317,1
427,507,1
353,427,1
353,427,1
317,427,1
317,427,1
317,427,1
317,427,1
317,427,1
317,427,1
317,427,1
317,427,1
317,427,1
317,427,1
317,427,1
317,427,1
317,427,1
317,427,1
317,427,1
317,427,1
317,427,1
565,92,1
565,92,1
536,565,1
536,565,1
536,565,1
536,565,1
536,565,1
536,565,1
536,565,1
536,565,1
536,565,1
565,117,1
261,361,1
261,361,1
261,361,1
261,361,1
361,261,1
261,361,1
261,361,1
261,361,1
261,361,1
361,601,1
261,279,1
261,361,1
261,361,1
261,361,1
261,361,1
261,361,1
261,361,1
261,361,1
261,361,1
361,429,1
361,261,1
261,257,1
261,257,1
261,279,1
261,361,1
261,361,1
361,261,1
109,158,1
109,158,1
428,109,1
428,109,1
428,109,1
428,109,1
428,109,1
428,109,1
428,109,1
428,109,1
428,109,1
428,109,1
428,109,1
428,109,1
574,191,1
574,454,1
191,574,1
499,299,1
186,124,1
186,124,1
186,122,1
186,150,1
186,150,1
186,124,1
186,124,1
186,124,1
275,198,1
275,198,1
275,198,1
275,198,1
275,198,1
275,198,1
275,198,1
198,275,1
438,359,1
438,359,1
438,359,1
438,359,1
438,359,1
438,359,1
438,359,1
438,359,1
438,359,1
438,359,1
438,359,1
438,359,1
438,359,1
438,359,1
438,359,1
438,359,1
438,359,1
438,359,1
499,30,1
499,588,1
499,30,1
499,588,1
499,588,1
499,588,1
499,588,1
499,588,1
499,588,1
499,588,1
499,588,1
499,588,1
499,588,1
499,588,1
499,167,1
499,588,1
499,588,1
499,588,1
14,608,1
14,608,1
14,608,1
14,608,1
14,608,1
14,608,1
14,608,1
14,608,1
14,608,1
14,608,1
14,608,1
14,608,1
14,608,1
14,608,1
14,608,1
14,608,1
14,608,1
14,608,1
14,608,1
14,608,1
14,608,1
14,608,1
14,608,1
14,608,1
14,608,1
14,608,1
14,608,1
14,608,1
478,608,1
478,608,1
478,608,1
478,608,1
478,608,1
478,608,1
478,608,1
478,608,1
478,608,1
478,608,1
478,608,1
478,608,1
478,608,1
478,608,1
516,284,1
516,548,1
27,516,1
147,111,1
147,111,1
147,111,1
147,111,1
147,111,1
147,111,1
147,111,1
147,111,1
147,111,1
147,111,1
147,111,1
147,111,1
147,111,1
147,111,1
360,491,1
207,86,1
207,86,1
207,86,1
207,86,1
207,86,1
207,86,1
207,86,1
207,86,1
207,86,1
207,86,1
207,86,1
595,316,1
595,316,1
595,316,1
595,316,1
595,316,1
595,316,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,353,1
167,353,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,353,1
167,353,1
167,353,1
167,353,1
167,353,1
167,353,1
167,157,1
167,353,1
167,353,1
167,353,1
167,353,1
167,353,1
167,353,1
167,353,1
167,353,1
167,353,1
167,105,1
167,353,1
167,406,1
167,353,1
167,353,1
167,157,1
167,353,1
167,353,1
167,353,1
167,353,1
167,157,1
167,353,1
167,406,1
167,353,1
167,353,1
167,105,1
167,353,1
167,105,1
167,353,1
167,353,1
167,353,1
167,353,1
167,353,1
167,105,1
167,406,1
167,353,1
167,353,1
167,172,1
167,172,1
167,172,1
167,353,1
167,172,1
167,172,1
167,172,1
167,41,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,167,1
406,353,1
167,353,1
231,517,1
231,517,1
231,517,1
231,517,1
231,517,1
231,517,1
231,517,1
231,517,1
231,517,1
231,517,1
231,517,1
231,517,1
