Source,Target,Weight
592,392,1
592,392,1
592,392,1
592,392,1
592,392,1
412,291,1
412,392,1
592,392,1
592,392,1
412,392,1
412,592,1
412,291,1
392,592,1
994,120,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
943,1080,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
1080,943,1
41,943,1
41,943,1
41,943,1
41,943,1
41,943,1
41,943,1
355,1036,1
1036,355,1
639,33,1
639,33,1
639,33,1
942,413,1
626,1040,1
731,547,1
731,547,1
731,547,1
731,547,1
731,547,1
731,547,1
731,547,1
731,547,1
731,547,1
547,731,1
731,547,1
731,547,1
731,547,1
547,731,1
547,731,1
547,731,1
547,731,1
547,731,1
547,731,1
547,731,1
547,731,1
547,731,1
547,731,1
547,731,1
547,731,1
547,731,1
547,731,1
547,731,1
547,731,1
547,731,1
547,731,1
731,547,1
959,93,1
959,93,1
959,93,1
184,791,1
184,959,1
384,959,1
401,1044,1
401,1044,1
401,438,1
438,401,1
438,401,1
438,401,1
438,401,1
438,401,1
438,401,1
438,401,1
438,401,1
438,401,1
438,401,1
438,401,1
438,401,1
438,401,1
438,401,1
438,401,1
438,401,1
438,401,1
438,401,1
438,401,1
438,401,1
931,1025,1
1025,329,1
