Source,Target,Weight
3166,1328,1
3166,3476,1
3166,1328,1
3166,1328,1
3166,3476,1
1328,3166,1
1328,3476,1
1328,3166,1
1328,3166,1
3402,5218,1
6043,3625,1
5205,2390,1
5205,2390,1
5205,2390,1
5205,2390,1
2390,5205,1
5598,2390,1
5598,1156,1
5598,5205,1
5205,2390,1
2390,5205,1
2390,5205,1
4447,5205,1
5205,36,1
4411,4544,1
4411,1960,1
3365,4544,1
3365,568,1
3365,596,1
3365,1960,1
671,1960,1
5213,3275,1
5213,774,1
4885,3081,1
4885,3081,1
4885,3081,1
4885,3081,1
4885,3081,1
4648,4885,1
4648,3081,1
4885,4648,1
4885,3081,1
4648,4885,1
4885,4648,1
4648,4885,1
4648,2377,1
4648,3081,1
4885,4648,1
5574,5233,1
5574,5233,1
3680,2497,1
2497,3680,1
2497,3680,1
2497,3680,1
3680,1773,1
3680,3585,1
3680,2497,1
1679,471,1
471,1679,1
471,1679,1
471,1679,1
1679,471,1
1679,471,1
471,1679,1
1377,471,1
3704,4443,1
4833,1755,1
4833,5803,1
4833,5120,1
1755,4833,1
5120,4833,1
1755,4833,1
1755,4833,1
5157,32,1
5157,3215,1
5157,1696,1
5157,478,1
5157,32,1
5157,3215,1
5157,1696,1
5157,478,1
5157,32,1
5157,3215,1
478,5157,1
478,5157,1
478,5157,1
478,5157,1
478,4649,1
478,5157,1
478,5157,1
478,5157,1
478,5157,1
478,5157,1
478,5157,1
478,5157,1
478,5157,1
478,5157,1
478,5157,1
478,3215,1
5157,32,1
5157,3215,1
5157,32,1
5157,3215,1
5157,32,1
5157,3215,1
3215,1696,1
3215,5157,1
3215,478,1
5157,3215,1
5157,478,1
5157,4049,1
5157,3215,1
5157,4049,1
5157,3215,1
5157,1696,1
5157,478,1
2625,1696,1
2625,3215,1
2625,5157,1
5157,4049,1
5157,4049,1
5157,4049,1
5993,5157,1
4649,3215,1
5157,4049,1
2625,1696,1
2625,5157,1
5993,5157,1
1282,5157,1
5157,4049,1
5157,3215,1
2625,5200,1
2625,5157,1
2625,1696,1
5993,1282,1
5993,5157,1
5026,5157,1
5157,5200,1
5157,3893,1
5157,2625,1
5157,3215,1
2625,5157,1
2625,1696,1
2625,5157,1
2625,1696,1
2299,5157,1
2299,3499,1
1106,2480,1
1106,5157,1
612,4973,1
612,5157,1
612,424,1
5157,3215,1
5157,2625,1
2625,5157,1
2625,3215,1
2625,1696,1
5157,5026,1
5157,2625,1
5157,5585,1
5157,2625,1
5157,2625,1
2568,5157,1
5708,3146,1
5708,3146,1
5708,420,1
2641,1158,1
2641,5708,1
2641,5708,1
2641,5708,1
2641,5708,1
2641,5708,1
2641,5708,1
3709,5708,1
3709,5708,1
3709,5708,1
3709,5708,1
5708,3709,1
5708,420,1
5384,5708,1
3820,2301,1
5384,5708,1
3709,5708,1
2115,3709,1
2115,5708,1
3709,5708,1
3709,5708,1
3709,5708,1
5384,5708,1
5384,5708,1
5384,5708,1
5384,5708,1
5384,5708,1
5384,5708,1
158,1675,1
158,4364,1
158,1675,1
158,23,1
158,4364,1
158,1675,1
158,4364,1
1675,4364,1
1675,2532,1
1675,4364,1
4364,158,1
4364,1675,1
1675,4364,1
3873,4617,1
3873,4617,1
3873,4617,1
3873,4617,1
3873,4617,1
3873,4617,1
3873,4617,1
3873,4617,1
1774,4617,1
6024,693,1
6024,693,1
6024,693,1
3294,4315,1
3912,4315,1
4315,3296,1
4315,5744,1
4315,5820,1
3296,4315,1
3296,2200,1
412,77,1
412,77,1
412,77,1
412,77,1
77,412,1
77,412,1
77,412,1
77,412,1
77,412,1
77,412,1
77,412,1
77,412,1
77,412,1
77,412,1
77,412,1
77,412,1
77,412,1
412,77,1
412,77,1
412,77,1
412,77,1
412,77,1
85,412,1
85,412,1
85,412,1
85,412,1
85,412,1
85,412,1
85,412,1
85,412,1
85,412,1
85,412,1
85,412,1
85,412,1
85,412,1
85,412,1
6012,1351,1
2225,1351,1
231,2246,1
231,2246,1
231,2246,1
231,2246,1
231,2246,1
231,2246,1
2616,2246,1
2616,2246,1
2616,2246,1
2616,2246,1
2616,2246,1
2616,2246,1
231,2246,1
231,2616,1
5838,93,1
1530,5838,1
5767,5838,1
3383,5838,1
3383,93,1
3383,5838,1
3383,93,1
3383,5838,1
3383,5838,1
3383,5838,1
3383,5838,1
3383,5838,1
3383,5838,1
3383,5838,1
3383,5838,1
3383,5838,1
3383,5838,1
3383,5838,1
3383,5838,1
3383,5838,1
3383,93,1
3383,93,1
3383,5838,1
3383,5838,1
3383,5838,1
3383,93,1
2619,5838,1
2619,5838,1
2619,5838,1
2619,5838,1
2619,5838,1
2619,5838,1
2619,5838,1
2619,5838,1
2619,5838,1
2619,5838,1
2619,5838,1
2619,5838,1
2619,5838,1
3820,5838,1
3383,93,1
3383,5838,1
4469,5817,1
4469,1598,1
5485,4469,1
1942,1042,1
1942,1042,1
1272,2683,1
1272,4606,1
1272,4453,1
4453,2339,1
4453,742,1
1491,4666,1
1491,4453,1
3040,1168,1
4065,4437,1
4065,2671,1
1755,1748,1
1755,1748,1
5391,2725,1
5391,269,1
5391,446,1
5391,1058,1
5391,1663,1
3696,1058,1
4206,3794,1
4206,3794,1
4206,3794,1
4206,3794,1
4206,4406,1
5598,4206,1
5598,4206,1
5598,4206,1
5598,4206,1
5598,4206,1
5598,4206,1
5598,4206,1
5598,4206,1
5598,4206,1
5598,4206,1
5598,4206,1
5598,4206,1
5598,4206,1
5598,4206,1
5598,4206,1
5598,4206,1
5598,4206,1
5598,4206,1
3325,4250,1
3325,4569,1
3325,4569,1
3325,4569,1
3325,4569,1
3325,4569,1
3325,4569,1
3325,4569,1
3325,4569,1
3325,4569,1
3325,4569,1
3325,4569,1
3325,4569,1
3325,4569,1
1112,4569,1
5254,4569,1
3919,2399,1
5537,2399,1
5537,2399,1
5537,2399,1
5537,2399,1
5537,2399,1
5537,2399,1
5537,2399,1
4279,850,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
415,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
2524,4279,1
6114,4279,1
6114,4279,1
6114,4279,1
6114,4279,1
6114,4279,1
6114,4279,1
6114,4279,1
6114,4279,1
6114,4279,1
6114,5302,1
6114,2524,1
52,2608,1
52,2608,1
1119,1544,1
1119,52,1
1544,52,1
1119,1544,1
1119,52,1
5757,816,1
5757,816,1
5757,816,1
816,2186,1
816,1524,1
1524,816,1
1524,816,1
1524,816,1
2186,816,1
2186,816,1
2186,816,1
2385,3999,1
2385,816,1
2385,816,1
2385,816,1
5516,5366,1
5516,5366,1
5516,5366,1
5516,5366,1
5516,5366,1
5516,5366,1
5516,5366,1
5516,5366,1
5516,5366,1
5516,5366,1
5516,5366,1
5516,5366,1
5516,5366,1
5516,5366,1
5516,5366,1
5516,3030,1
5516,2839,1
5516,5366,1
5516,219,1
5944,5366,1
5944,254,1
5259,3070,1
4451,5773,1
4451,5259,1
4451,1219,1
4451,5259,1
5259,1219,1
5259,3277,1
5259,3070,1
5259,1380,1
5259,3277,1
5259,4277,1
5259,3277,1
5259,1380,1
5259,1431,1
5259,3277,1
3277,5259,1
5255,1462,1
5255,6085,1
5255,1462,1
234,733,1
234,5255,1
234,5255,1
234,5255,1
234,5255,1
234,5255,1
234,5255,1
234,5255,1
234,5255,1
234,5255,1
5255,1462,1
5255,234,1
5255,733,1
5255,234,1
5255,733,1
5255,234,1
5255,733,1
733,5255,1
733,2854,1
733,5255,1
5255,234,1
5255,2854,1
5255,733,1
395,4671,1
3326,279,1
4850,5363,1
5363,4850,1
4850,2355,1
1027,1850,1
1027,3908,1
1850,1027,1
1850,1027,1
1027,3908,1
2302,4980,1
125,2302,1
125,3582,1
125,2530,1
1689,1268,1
1345,1520,1
1345,1520,1
1520,1345,1
416,1345,1
416,1520,1
416,1345,1
416,1520,1
416,1345,1
1520,2371,1
1520,416,1
1520,1345,1
1520,416,1
1520,1345,1
416,1520,1
416,1345,1
1345,1520,1
1345,416,1
416,1520,1
416,1345,1
1520,416,1
1520,1345,1
416,1520,1
416,1345,1
416,2371,1
416,1345,1
416,1520,1
416,1345,1
416,1520,1
1950,4297,1
1950,1345,1
416,1345,1
3528,5245,1
4835,3528,1
3206,2522,1
