ID,Label
1,Michelle Leali Costa
2,Antonio Carlos Bento
3,Maria de Fátima Aparecida Saraiva Bitencourt
4,Marcelo Eduardo Vieira Segatto
5,Edson Aparecido Mitishita
6,Anamaria Aranha Camargo
7,Andre Talvani Pedrosa da Silva
8,José Andrés Morgado Díaz
9,Vidal de Freitas Mansano
10,Murilo Augusto Vaz
11,Wolf Christian Luz
12,Adaliene Versiani Matos Ferreira
13,Rosa Maria Godoy Serpa da Fonseca
14,Alexandre Sanfelice Bazanella
15,Jefferson Luiz Brum Marques
16,Cassandro Vidal Talamini do Amarante
17,Helen Treichel
18,Iara Jose de Messias Reason
19,Luiz Fernando da Silva Junior
20,Clarisa Beatriz Palatnik de Sousa
21,Tomaz Catunda
22,Francisco Antonio dos Anjos
23,Sergio Roberto Lopes
24,Ben Hur Viana Borges
25,Marilda Aparecida de Menezes
26,Virgilio de Carvalho dos Anjos
27,Márcia Foster Mesko
28,Rosana Moreira da Rocha
29,Valdo Jose Dias da Silva
30,Suely Ferreira Deslandes
31,José Adilson de Castro
32,Telma Leda Gomes de Lemos
33,Luiz Orlando Ladeira
34,Rogerio Rosenfeld
35,Geraldo Andrade Carvalho
36,Clezio Marcos De Nardin
37,Normanda Araujo de Morais
38,Pierre Basílio Almeida Fechine
39,Mário Lúcio Vilela de Resende
40,Lev Birbrair
41,Ricardo Azevedo da Silva
42,John Campbell McNamara
43,Renato Evangelista de Araujo
44,Eugênio Eduardo de Oliveira
45,Mario Sarcinelli Filho
46,Rosangela Zacarias Machado
47,Claudia Martins Carneiro
48,Pablo Vidal Torrado
49,Niklaus Ursus Wetter
50,Emanuel Negrão Macêdo
51,Melania Maria Ramos de Amorim
52,Luis Raul Weber Abramo
53,Claudianor Oliveira Alves
54,Antônio Carlos de Abreu Mól
55,Oswaldo Keith Okamoto
56,Carine Dahl Corcini
57,Iran Abreu Mendes
58,Flavio Henrique da Silva
59,Celina Maria Turchi Martelli
60,Hamilton Brandão Varela de Albuquerque
61,Francisco Anacleto Barros Fidelis de Moura
62,Carlos Henrique Nery Costa
63,José Domingos Fabris
64,Patrícia Maria Guedes Paiva
65,Maria Cristina Ferreira de Oliveira
66,Marcio Antonio Mazutti
67,Davidson Martins Moreira
68,Glauco Nery Taranto
69,Joao Ricardo Mendes de Oliveira
70,Regina Mara Fisberg
71,Anna Sara Shafferman Levin
72,Pedro Vitoriano de Oliveira
73,Paulo Cesar Pozza
74,Monica Alonso Cotta
75,Laura Hecker de Carvalho
76,George Sand Leão Araújo de França
77,Gerson Fauth
78,Silvio Hamacher
79,Edgar Roberto Kirchof
80,Helio de Lucena Lira
81,Cibele Rodrigues Bonvicino
82,Wayner Vieira de Souza
